period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Rigger-monteerder,15
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,Procesoperator chemische industrie,7
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Specialisten chemie en kunststoffen,Productiemedewerker kunststofverwerking,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Afdelingsverantwoordelijke productie,9
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Productiemanager,19
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Projectmanager engineering,57
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Teamleader productie,9
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke beheer en onderhoud van voertuigen,8
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke industrieel onderhoud,29
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke kwaliteitscontrole,8
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Tekenaars en vormgevers,Grafisch vormgever,3
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Tekenaars en vormgevers,Mode- en textielontwerper,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Tekenaars en vormgevers,Productontwikkelaar,4
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Tekenaars en vormgevers,"Tekenaar-ontwerper elektriciteit, elektronica",37
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Tekenaars en vormgevers,Tekenaar-ontwerper mechanica,22
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Voer- en werktuigherstellers,OD-technicus van zware bedrijfsvoertuigen,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Voer- en werktuigherstellers,Onderhoudsmecanicien van personenwagens en lichte bedrijfsvoertuigen,8
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Voer- en werktuigherstellers,Onderhoudsmecanicien van zware bedrijfsvoertuigen,35
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Voer- en werktuigherstellers,Plaatwerker carrosserie,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Voer- en werktuigherstellers,"Technicus van tuin-, park- en bosmachines",1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Voer- en werktuigherstellers,"Technicus werf-, landbouw- en hefmachines",33
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Voer- en werktuigherstellers,Vliegtuigtechnicus,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Industriële beroepen en ambachten,Voer- en werktuigherstellers,Werktuigkundige scheepvaart,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Bestuurder van bosexploitatiemachines,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Medewerker landbouw,5
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Medewerker loonwerk,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Medewerker tuin- en groenaanleg en -onderhoud,67
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",Medewerker tuinbouw,9
