period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,vacatures
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Industriële beroepen en ambachten,Drukkers,1
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Pedagogische beroepen,Onderwijzend en leidinggevend personeel in onderwijs,1
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Pedagogische beroepen,Opvoedkundig personeel,1
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Vrijetijds- en artistieke beroepen,Podium- en audiovisuele technici,1
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Dienstverlenende beroepen,Adviesverleners,0
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,"Medische, paramedische en verzorgende beroepen","Verpleegkundigen, vroedvrouwen en zorgpersoneel",0
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bouwberoepen,Bouwvakkers,8258
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bouwberoepen,Bouwtechnici,1965
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Industriële technici,1716
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Monteurs en installateurs elektrotechniek,1112
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,Administratief medewerkers,846
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Professionals in de metaalindustrie,685
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,527
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bouwberoepen,Machinisten en kraanmannen,521
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Transport- en logistieke beroepen,Bestuurders in het wegtransport,457
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Transport- en logistieke beroepen,Transport- en logistiek personeel,324
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Handels- en verkoopberoepen,Vertegenwoordigers,302
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Medewerkers houtindustrie,283
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,"Medewerkers commerciële strategie, marketing en verkoop",250
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Technisch leidinggevenden,199
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Organisatieondersteunende en kennisberoepen,Accountants,173
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,"Land-, tuin- en bosbouw- en visserijberoepen","Land-, tuin- en bosbouwers en vissers",151
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Handels- en verkoopberoepen,Verkooppersoneel,148
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Dienstverlenende beroepen,Schoonmaak- en onderhoudspersoneel,133
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Industriële beroepen en ambachten,Voer- en werktuigherstellers,125
