period_end,period_year,period_month,period_label,period_short,beroep,vacatures
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,BIM-expert (Building Information Modeling),6
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Back-office medewerker in de financiële sector,1
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Back-office medewerker in de financiële sector,1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Back-office medewerker in de financiële sector,2
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bankwerker,7
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Bankwerker,5
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bankwerker,1
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bankwerker,1
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bankwerker,1
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bankwerker,2
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bankwerker,3
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Barman,4
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Barman,2
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bediener baggermachines,1
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bediener grondverzetmachines,207
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Bediener grondverzetmachines,251
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bediener grondverzetmachines,230
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bediener grondverzetmachines,169
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bediener grondverzetmachines,249
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bediener grondverzetmachines,354
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bediener grondverzetmachines,308
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bediener grondverzetmachines,321
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bediener grondverzetmachines,257
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bediener grondverzetmachines,210
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bediener machines horizontale boringen,9
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Bediener machines horizontale boringen,7
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bediener machines horizontale boringen,13
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bediener machines horizontale boringen,12
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Bediener machines horizontale boringen,27
2022-12-31,2022,12,januari 2022 - december 2022,Dec 2022,Bediener machines horizontale boringen,11
2023-12-31,2023,12,januari 2023 - december 2023,Dec 2023,Bediener machines horizontale boringen,18
2024-12-31,2024,12,januari 2024 - december 2024,Dec 2024,Bediener machines horizontale boringen,43
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Bediener machines horizontale boringen,29
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bediener machines horizontale boringen,26
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Bediener machines verticale boringen,5
2018-12-31,2018,12,januari 2018 - december 2018,Dec 2018,Bediener machines verticale boringen,20
2019-12-31,2019,12,januari 2019 - december 2019,Dec 2019,Bediener machines verticale boringen,11
2020-12-31,2020,12,januari 2020 - december 2020,Dec 2020,Bediener machines verticale boringen,10
