period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,vacatures
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,"Land-, tuin- en bosbouw- en visserijberoepen",56
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Onbekend,3
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Pedagogische beroepen,3
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,Vrijetijds- en artistieke beroepen,2
2025-12-31,2025,12,januari 2025 - december 2025,Dec 2025,"Medische, paramedische en verzorgende beroepen",1
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,10231
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,4008
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,2185
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,826
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Handels- en verkoopberoepen,303
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,200
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Land-, tuin- en bosbouw- en visserijberoepen",59
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Horecaberoepen,44
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Pedagogische beroepen,5
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Onbekend,4
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Vrijetijds- en artistieke beroepen,2
2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,"Medische, paramedische en verzorgende beroepen",1
