rank,period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file,share_pct
90,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Operator montage en assemblage,31,vacatures_202604_all.xlsx,0.2
91,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Insteller-omsteller verspaning,31,vacatures_202604_all.xlsx,0.2
92,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Industrieel schilder,30,vacatures_202604_all.xlsx,0.2
93,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Rioollegger,30,vacatures_202604_all.xlsx,0.2
94,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Expert productieproces en -methodes,30,vacatures_202604_all.xlsx,0.2
95,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,"Aansluiter van waterleidingen, rioleringen en warmtenetten",30,vacatures_202604_all.xlsx,0.2
96,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Brandertechnicus,29,vacatures_202604_all.xlsx,0.2
97,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Landmeter,28,vacatures_202604_all.xlsx,0.2
98,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Onderzoeksmedewerkers en beleidsexperten,Beleidsdeskundige,28,vacatures_202604_all.xlsx,0.2
99,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Industriële technici,Ontwerper industriële automatisering,28,vacatures_202604_all.xlsx,0.2
100,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,Administratief en financieel verantwoordelijke,28,vacatures_202604_all.xlsx,0.2
101,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Professionals in de metaalindustrie,Productieoperator metaal,28,vacatures_202604_all.xlsx,0.2
102,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Machinisten en kraanmannen,Bediener machines horizontale boringen,26,vacatures_202604_all.xlsx,0.1
103,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Dienstverlenende beroepen,Juridische dienstverleners,Jurist,26,vacatures_202604_all.xlsx,0.1
104,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,Transport- en logistiek personeel,Dispatcher goederenvervoer,26,vacatures_202604_all.xlsx,0.1
105,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",Spoorwerker,26,vacatures_202604_all.xlsx,0.1
106,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Handels- en verkoopberoepen,Verkooppersoneel,Technisch adviseur klantenondersteuning,25,vacatures_202604_all.xlsx,0.1
107,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,HR-manager,25,vacatures_202604_all.xlsx,0.1
108,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwvakkers,Glaswerker,25,vacatures_202604_all.xlsx,0.1
109,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Technisch leidinggevenden,Verantwoordelijke kwaliteitscontrole,24,vacatures_202604_all.xlsx,0.1
110,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,Support medewerker ICT,23,vacatures_202604_all.xlsx,0.1
111,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,"Productieoperator van stortbeton, cement, asfalt en granulaten",22,vacatures_202604_all.xlsx,0.1
112,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Machinisten en kraanmannen,Torenkraanbediener,21,vacatures_202604_all.xlsx,0.1
113,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Bouwberoepen,Bouwtechnici,Verantwoordelijke onderhoud van gebouwen en infrastructuur,21,vacatures_202604_all.xlsx,0.1
114,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Informatici en ICT-medewerkers,Software ontwikkelaar,19,vacatures_202604_all.xlsx,0.1
115,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Industriële beroepen en ambachten,Diverse productiemedewerkers en operatoren,Productiemedewerker prefabbeton,19,vacatures_202604_all.xlsx,0.1
116,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,Algemeen directeur,19,vacatures_202604_all.xlsx,0.1
117,2026-04-30,2026,4,mei 2025 - april 2026,Apr 2026,Organisatieondersteunende en kennisberoepen,Leidinggevenden,Marketingmanager,19,vacatures_202604_all.xlsx,0.1
