period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,beroep,vacatures,source_file
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,Technisch adviseur klantenondersteuning,6,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,"Verhuurder van gereedschappen, transportmiddelen of vrijetijdsmaterieel",2,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,Winkelmanager,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,Winkelmedewerker,4,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Verkooppersoneel,Winkelverkoper,152,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Vertegenwoordigers,Vertegenwoordiger B2B,312,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Handels- en verkoopberoepen,Vertegenwoordigers,Vertegenwoordiger B2C,5,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Hulpkok,2,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Hulpkok grootkeuken,2,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Kamerjongen-Kamermeisje,3,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Kelner,1,vacatures_201712_all.xlsx
2017-12-31,2017,12,januari 2017 - december 2017,Dec 2017,Horecaberoepen,Horecapersoneel,Kok,2,vacatures_201712_all.xlsx
