y,r,s,v
2022,4000,C,4001
2022,4000,D,203
2022,4000,E,129
2022,4000,F,16277
2022,4000,G,20941
2022,4000,H,5945
2022,4000,I,9949
2022,4000,J,11817
2022,4000,K,4596
2022,4000,L,9198
2022,4000,M,40198
2022,4000,N,9194
2022,4000,O,504
2022,4000,P,4699
2022,4000,Q,17931
2022,4000,R,7213
2022,4000,S,22940
2022,4000,T,153
2022,4000,U,29
2022,4000,X,77
2023,2000,A,36026
2023,2000,B,79
2023,2000,C,45872
2023,2000,D,1091
2023,2000,E,1564
2023,2000,F,133605
2023,2000,G,144866
2023,2000,H,24012
2023,2000,I,55609
2023,2000,J,49840
2023,2000,K,20523
2023,2000,L,44285
2023,2000,M,198997
2023,2000,N,59687
2023,2000,O,557
2023,2000,P,22316
2023,2000,Q,97338
2023,2000,R,43025
2023,2000,S,88259
2023,2000,T,585
2023,2000,U,4
2023,2000,X,387
2023,3000,A,23362
2023,3000,B,165
2023,3000,C,19528
2023,3000,D,386
2023,3000,E,859
2023,3000,F,51289
2023,3000,G,67324
2023,3000,H,6812
2023,3000,I,24894
2023,3000,J,17499
2023,3000,K,8108
2023,3000,L,18526
2023,3000,M,72158
2023,3000,N,25889
2023,3000,O,503
2023,3000,P,11761
2023,3000,Q,65807
2023,3000,R,17530
2023,3000,S,48846
2023,3000,T,130
2023,3000,U,3
2023,3000,X,190
2023,4000,A,421
2023,4000,B,9
2023,4000,C,4303
2023,4000,D,203
2023,4000,E,135
2023,4000,F,17131
2023,4000,G,22648
2023,4000,H,6749
2023,4000,I,10931
2023,4000,J,12952
2023,4000,K,4713
2023,4000,L,10004
2023,4000,M,44468
2023,4000,N,9866
2023,4000,O,555
2023,4000,P,4967
2023,4000,Q,19707
2023,4000,R,7702
2023,4000,S,23648
2023,4000,T,163
2023,4000,U,30
2023,4000,X,113
