y,q,lvl,nis,type,n,p50,p25,p75,name
2010,1,5,11054,alle_huizen,14.0,,,,ZANDHOVEN
2010,1,5,11054,appartementen,1.0,,,,ZANDHOVEN
2010,1,5,11054,huizen_23,7.0,,,,ZANDHOVEN
2010,1,5,11054,huizen_4plus,7.0,,,,ZANDHOVEN
2010,1,5,11055,alle_huizen,39.0,308000.0,275000.0,400000.0,ZOERSEL
2010,1,5,11055,appartementen,6.0,,,,ZOERSEL
2010,1,5,11055,huizen_23,10.0,,,,ZOERSEL
2010,1,5,11055,huizen_4plus,29.0,360000.0,305000.0,480000.0,ZOERSEL
2010,1,5,11057,alle_huizen,19.0,265000.0,216000.0,352500.0,MALLE
2010,1,5,11057,appartementen,2.0,,,,MALLE
2010,1,5,11057,huizen_23,6.0,,,,MALLE
2010,1,5,11057,huizen_4plus,13.0,,,,MALLE
2010,1,5,12002,alle_huizen,26.0,200000.0,156250.0,276500.0,BERLAAR
2010,1,5,12002,appartementen,2.0,,,,BERLAAR
2010,1,5,12002,huizen_23,22.0,191250.0,152500.0,263000.0,BERLAAR
2010,1,5,12002,huizen_4plus,4.0,,,,BERLAAR
2010,1,5,12005,alle_huizen,23.0,300000.0,200000.0,330000.0,BONHEIDEN
2010,1,5,12005,appartementen,0.0,,,,BONHEIDEN
2010,1,5,12005,huizen_23,7.0,,,,BONHEIDEN
2010,1,5,12005,huizen_4plus,16.0,323750.0,295000.0,367000.0,BONHEIDEN
2010,1,5,12007,alle_huizen,38.0,249000.0,162000.0,300000.0,BORNEM
2010,1,5,12007,appartementen,8.0,,,,BORNEM
2010,1,5,12007,huizen_23,28.0,200000.0,153250.0,269000.0,BORNEM
2010,1,5,12007,huizen_4plus,10.0,,,,BORNEM
2010,1,5,12009,alle_huizen,22.0,179500.0,150000.0,266000.0,DUFFEL
2010,1,5,12009,appartementen,10.0,,,,DUFFEL
2010,1,5,12009,huizen_23,21.0,175000.0,150000.0,250000.0,DUFFEL
2010,1,5,12009,huizen_4plus,1.0,,,,DUFFEL
2010,1,5,12014,alle_huizen,54.0,200000.0,160000.0,255000.0,HEIST-OP-DEN-BERG
2010,1,5,12014,appartementen,7.0,,,,HEIST-OP-DEN-BERG
2010,1,5,12014,huizen_23,30.0,188000.0,145000.0,239000.0,HEIST-OP-DEN-BERG
2010,1,5,12014,huizen_4plus,24.0,207500.0,177500.0,292500.0,HEIST-OP-DEN-BERG
2010,1,5,12021,alle_huizen,64.0,188250.0,133500.0,259925.0,LIER
2010,1,5,12021,appartementen,22.0,162000.0,144000.0,220000.0,LIER
2010,1,5,12021,huizen_23,57.0,180000.0,132000.0,240000.0,LIER
2010,1,5,12021,huizen_4plus,7.0,,,,LIER
2010,1,5,12025,alle_huizen,168.0,179000.0,138500.0,240000.0,MECHELEN
2010,1,5,12025,appartementen,61.0,135000.0,110000.0,165000.0,MECHELEN
2010,1,5,12025,huizen_23,160.0,170750.0,135000.0,228500.0,MECHELEN
2010,1,5,12025,huizen_4plus,8.0,,,,MECHELEN
2010,1,5,12026,alle_huizen,49.0,189000.0,140000.0,245000.0,NIJLEN
2010,1,5,12026,appartementen,2.0,,,,NIJLEN
2010,1,5,12026,huizen_23,32.0,165000.0,140000.0,208500.0,NIJLEN
2010,1,5,12026,huizen_4plus,17.0,252900.0,170000.0,300000.0,NIJLEN
2010,1,5,12029,alle_huizen,28.0,220750.0,167000.0,265000.0,PUTTE
2010,1,5,12029,appartementen,3.0,,,,PUTTE
2010,1,5,12029,huizen_23,12.0,,,,PUTTE
2010,1,5,12029,huizen_4plus,16.0,260000.0,201250.0,305500.0,PUTTE
2010,1,5,12035,alle_huizen,28.0,267500.0,225000.0,324500.0,SINT-KATELIJNE-WAVER
2010,1,5,12035,appartementen,3.0,,,,SINT-KATELIJNE-WAVER
2010,1,5,12035,huizen_23,12.0,,,,SINT-KATELIJNE-WAVER
2010,1,5,12035,huizen_4plus,16.0,300000.0,260000.0,372500.0,SINT-KATELIJNE-WAVER
2010,1,5,12040,alle_huizen,57.0,197500.0,160000.0,255000.0,WILLEBROEK
2010,1,5,12040,appartementen,7.0,,,,WILLEBROEK
2010,1,5,12040,huizen_23,48.0,181710.0,152000.0,217500.0,WILLEBROEK
2010,1,5,12040,huizen_4plus,9.0,,,,WILLEBROEK
2010,1,5,12041,alle_huizen,39.0,177500.0,150000.0,227500.0,PUURS-SINT-AMANDS
2010,1,5,12041,appartementen,2.0,,,,PUURS-SINT-AMANDS
2010,1,5,12041,huizen_23,29.0,175000.0,150000.0,210000.0,PUURS-SINT-AMANDS
2010,1,5,12041,huizen_4plus,10.0,,,,PUURS-SINT-AMANDS
2010,1,5,13001,alle_huizen,32.0,177000.0,155000.0,221500.0,ARENDONK
2010,1,5,13001,appartementen,2.0,,,,ARENDONK
2010,1,5,13001,huizen_23,25.0,181000.0,156500.0,213250.0,ARENDONK
2010,1,5,13001,huizen_4plus,7.0,,,,ARENDONK
2010,1,5,13002,alle_huizen,5.0,,,,BAARLE-HERTOG
2010,1,5,13002,appartementen,1.0,,,,BAARLE-HERTOG
2010,1,5,13002,huizen_23,5.0,,,,BAARLE-HERTOG
2010,1,5,13002,huizen_4plus,0.0,,,,BAARLE-HERTOG
2010,1,5,13003,alle_huizen,48.0,178000.0,145500.0,221250.0,BALEN
2010,1,5,13003,appartementen,8.0,,,,BALEN
2010,1,5,13003,huizen_23,15.0,,,,BALEN
2010,1,5,13003,huizen_4plus,33.0,190000.0,158000.0,249000.0,BALEN
2010,1,5,13004,alle_huizen,31.0,250000.0,207000.0,285000.0,BEERSE
2010,1,5,13004,appartementen,3.0,,,,BEERSE
2010,1,5,13004,huizen_23,13.0,,,,BEERSE
2010,1,5,13004,huizen_4plus,18.0,251250.0,207500.0,315000.0,BEERSE
2010,1,5,13006,alle_huizen,17.0,197500.0,162500.0,250000.0,DESSEL
2010,1,5,13006,appartementen,6.0,,,,DESSEL
2010,1,5,13006,huizen_23,8.0,,,,DESSEL
2010,1,5,13006,huizen_4plus,9.0,,,,DESSEL
2010,1,5,13008,alle_huizen,53.0,185000.0,154200.0,230000.0,GEEL
2010,1,5,13008,appartementen,10.0,,,,GEEL
2010,1,5,13008,huizen_23,27.0,155000.0,122000.0,185000.0,GEEL
2010,1,5,13008,huizen_4plus,26.0,226500.0,186000.0,285000.0,GEEL
2010,1,5,13010,alle_huizen,30.0,236000.0,199000.0,300000.0,GROBBENDONK
2010,1,5,13010,appartementen,0.0,,,,GROBBENDONK
2010,1,5,13010,huizen_23,12.0,,,,GROBBENDONK
2010,1,5,13010,huizen_4plus,18.0,281500.0,220000.0,320000.0,GROBBENDONK
