y,r,p,n1,fr,s1,s2,s3,s4,s5,r1,r2,r3,r4,r5
2008,2000,70000,F,664,630,584.0,536.0,499.0,462.0,0.9487951807,0.8795180723,0.8072289157,0.7515060241,0.6957831325
2008,2000,70000,G,725,652,588.0,537.0,482.0,436.0,0.8993103448,0.8110344828,0.7406896552,0.6648275862,0.6013793103
2008,2000,70000,H,90,87,80.0,75.0,66.0,58.0,0.9666666667,0.8888888889,0.8333333333,0.7333333333,0.6444444444
2008,2000,70000,I,303,266,235.0,205.0,176.0,156.0,0.8778877888,0.7755775578,0.6765676568,0.5808580858,0.5148514851
2008,2000,70000,J,268,218,189.0,165.0,152.0,135.0,0.8134328358,0.7052238806,0.6156716418,0.5671641791,0.5037313433
2008,2000,70000,K,37,35,30.0,28.0,26.0,22.0,0.9459459459,0.8108108108,0.7567567568,0.7027027027,0.5945945946
2008,2000,70000,L,58,55,53.0,49.0,49.0,46.0,0.9482758621,0.9137931034,0.8448275862,0.8448275862,0.7931034483
2008,2000,70000,M,517,496,473.0,446.0,422.0,398.0,0.9593810445,0.914893617,0.8626692456,0.8162475822,0.7698259188
2008,2000,70000,N,216,198,179.0,171.0,153.0,135.0,0.9166666667,0.8287037037,0.7916666667,0.7083333333,0.625
2008,2000,70000,O,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008,2000,70000,P,41,36,32.0,25.0,23.0,20.0,0.8780487805,0.7804878049,0.6097560976,0.5609756098,0.487804878
2008,2000,70000,Q,50,37,32.0,28.0,24.0,22.0,0.74,0.64,0.56,0.48,0.44
2008,2000,70000,R,119,114,109.0,98.0,91.0,83.0,0.9579831933,0.9159663866,0.8235294118,0.7647058824,0.6974789916
2008,2000,70000,S,249,224,197.0,177.0,157.0,149.0,0.8995983936,0.7911646586,0.7108433735,0.6305220884,0.5983935743
2008,2000,70000,T,3,3,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.6666666667
2008,3000,20002,A,62,60,60.0,58.0,57.0,55.0,0.9677419355,0.9677419355,0.935483871,0.9193548387,0.8870967742
2008,3000,20002,B,2,2,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2008,3000,20002,C,67,65,61.0,57.0,55.0,52.0,0.9701492537,0.9104477612,0.8507462687,0.8208955224,0.776119403
2008,3000,20002,D,2,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
2008,3000,20002,E,2,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
2008,3000,20002,F,258,243,230.0,210.0,197.0,185.0,0.9418604651,0.8914728682,0.8139534884,0.7635658915,0.7170542636
2008,3000,20002,G,371,333,297.0,271.0,261.0,236.0,0.897574124,0.8005390836,0.730458221,0.7035040431,0.6361185984
2008,3000,20002,H,50,42,39.0,33.0,31.0,27.0,0.84,0.78,0.66,0.62,0.54
2008,3000,20002,I,129,120,100.0,91.0,86.0,79.0,0.9302325581,0.7751937984,0.7054263566,0.6666666667,0.6124031008
2008,3000,20002,J,220,191,171.0,152.0,137.0,127.0,0.8681818182,0.7772727273,0.6909090909,0.6227272727,0.5772727273
2008,3000,20002,K,19,19,18.0,18.0,17.0,17.0,1.0,0.9473684211,0.9473684211,0.8947368421,0.8947368421
2008,3000,20002,L,82,75,73.0,72.0,66.0,63.0,0.9146341463,0.8902439024,0.8780487805,0.8048780488,0.7682926829
2008,3000,20002,M,586,540,499.0,466.0,432.0,411.0,0.9215017065,0.8515358362,0.795221843,0.7372013652,0.7013651877
2008,3000,20002,N,298,267,236.0,211.0,200.0,184.0,0.8959731544,0.7919463087,0.7080536913,0.6711409396,0.6174496644
2008,3000,20002,P,48,44,41.0,36.0,33.0,31.0,0.9166666667,0.8541666667,0.75,0.6875,0.6458333333
2008,3000,20002,Q,44,40,33.0,31.0,28.0,27.0,0.9090909091,0.75,0.7045454545,0.6363636364,0.6136363636
2008,3000,20002,R,95,83,78.0,74.0,71.0,64.0,0.8736842105,0.8210526316,0.7789473684,0.7473684211,0.6736842105
2008,3000,20002,S,180,158,137.0,126.0,116.0,110.0,0.8777777778,0.7611111111,0.7,0.6444444444,0.6111111111
2008,3000,20002,T,1,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2008,3000,50000,A,205,199,193.0,186.0,180.0,176.0,0.9707317073,0.9414634146,0.9073170732,0.8780487805,0.8585365854
2008,3000,50000,B,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008,3000,50000,C,189,177,157.0,149.0,142.0,136.0,0.9365079365,0.8306878307,0.7883597884,0.7513227513,0.7195767196
2008,3000,50000,D,4,4,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
2008,3000,50000,E,9,7,6.0,6.0,5.0,5.0,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.5555555556
2008,3000,50000,F,766,704,636.0,588.0,532.0,487.0,0.9190600522,0.8302872063,0.7676240209,0.6945169713,0.635770235
2008,3000,50000,G,1199,1011,894.0,795.0,696.0,635.0,0.8432026689,0.7456213511,0.6630525438,0.5804837364,0.5296080067
2008,3000,50000,H,154,128,113.0,96.0,83.0,76.0,0.8311688312,0.7337662338,0.6233766234,0.538961039,0.4935064935
2008,3000,50000,I,558,447,365.0,314.0,274.0,242.0,0.8010752688,0.6541218638,0.5627240143,0.4910394265,0.4336917563
2008,3000,50000,J,395,309,251.0,216.0,183.0,161.0,0.782278481,0.635443038,0.546835443,0.4632911392,0.4075949367
2008,3000,50000,K,24,20,17.0,16.0,13.0,12.0,0.8333333333,0.7083333333,0.6666666667,0.5416666667,0.5
2008,3000,50000,L,120,110,100.0,92.0,88.0,83.0,0.9166666667,0.8333333333,0.7666666667,0.7333333333,0.6916666667
2008,3000,50000,M,653,596,559.0,517.0,479.0,444.0,0.9127105666,0.8560490046,0.7917304747,0.7335375191,0.6799387443
2008,3000,50000,N,342,288,249.0,230.0,212.0,204.0,0.8421052632,0.7280701754,0.6725146199,0.6198830409,0.5964912281
2008,3000,50000,O,4,4,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
2008,3000,50000,P,59,50,48.0,39.0,35.0,31.0,0.8474576271,0.813559322,0.6610169492,0.593220339,0.5254237288
2008,3000,50000,Q,79,66,62.0,57.0,54.0,50.0,0.835443038,0.7848101266,0.7215189873,0.6835443038,0.6329113924
2008,3000,50000,R,179,157,133.0,116.0,104.0,88.0,0.8770949721,0.7430167598,0.6480446927,0.5810055866,0.4916201117
2008,3000,50000,S,374,326,286.0,255.0,235.0,219.0,0.871657754,0.7647058824,0.6818181818,0.628342246,0.5855614973
2008,3000,50000,T,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2008,3000,60000,A,176,168,164.0,157.0,150.0,141.0,0.9545454545,0.9318181818,0.8920454545,0.8522727273,0.8011363636
2008,3000,60000,C,194,174,167.0,155.0,144.0,135.0,0.8969072165,0.8608247423,0.7989690722,0.7422680412,0.6958762887
2008,3000,60000,D,7,7,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0
2008,3000,60000,E,13,12,12.0,11.0,11.0,10.0,0.9230769231,0.9230769231,0.8461538462,0.8461538462,0.7692307692
2008,3000,60000,F,731,674,645.0,603.0,560.0,507.0,0.9220246238,0.8823529412,0.8248974008,0.7660738714,0.6935704514
2008,3000,60000,G,964,825,708.0,643.0,582.0,525.0,0.8558091286,0.734439834,0.6670124481,0.6037344398,0.5446058091
2008,3000,60000,H,93,80,71.0,56.0,48.0,41.0,0.8602150538,0.7634408602,0.6021505376,0.5161290323,0.4408602151
2008,3000,60000,I,487,409,345.0,308.0,270.0,234.0,0.839835729,0.7084188912,0.6324435318,0.5544147844,0.4804928131
2008,3000,60000,J,438,316,247.0,202.0,177.0,159.0,0.7214611872,0.5639269406,0.4611872146,0.404109589,0.3630136986
2008,3000,60000,K,29,27,23.0,19.0,16.0,13.0,0.9310344828,0.7931034483,0.6551724138,0.5517241379,0.4482758621
2008,3000,60000,L,85,78,68.0,64.0,55.0,51.0,0.9176470588,0.8,0.7529411765,0.6470588235,0.6
2008,3000,60000,M,710,655,601.0,564.0,528.0,496.0,0.9225352113,0.8464788732,0.7943661972,0.7436619718,0.6985915493
2008,3000,60000,N,305,268,236.0,213.0,194.0,181.0,0.8786885246,0.7737704918,0.6983606557,0.6360655738,0.593442623
2008,3000,60000,O,2,1,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
2008,3000,60000,P,91,83,78.0,69.0,65.0,62.0,0.9120879121,0.8571428571,0.7582417582,0.7142857143,0.6813186813
2008,3000,60000,Q,84,67,55.0,50.0,46.0,41.0,0.7976190476,0.6547619048,0.5952380952,0.5476190476,0.4880952381
2008,3000,60000,R,177,156,135.0,126.0,114.0,101.0,0.8813559322,0.7627118644,0.7118644068,0.6440677966,0.5706214689
2008,3000,60000,S,308,267,247.0,227.0,203.0,186.0,0.8668831169,0.8019480519,0.737012987,0.6590909091,0.6038961039
2008,3000,80000,A,123,116,110.0,102.0,98.0,92.0,0.9430894309,0.8943089431,0.8292682927,0.7967479675,0.7479674797
2008,3000,80000,B,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008,3000,80000,C,45,43,39.0,39.0,36.0,32.0,0.9555555556,0.8666666667,0.8666666667,0.8,0.7111111111
2008,3000,80000,D,2,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
2008,3000,80000,E,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008,3000,80000,F,187,175,162.0,152.0,138.0,126.0,0.935828877,0.8663101604,0.8128342246,0.7379679144,0.6737967914
2008,3000,80000,G,153,134,115.0,94.0,84.0,78.0,0.8758169935,0.7516339869,0.614379085,0.5490196078,0.5098039216
2008,3000,80000,H,6,5,5.0,5.0,5.0,5.0,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333
2008,3000,80000,I,121,107,94.0,75.0,70.0,68.0,0.8842975207,0.7768595041,0.6198347107,0.5785123967,0.5619834711
2008,3000,80000,J,110,73,57.0,46.0,38.0,30.0,0.6636363636,0.5181818182,0.4181818182,0.3454545455,0.2727272727
2008,3000,80000,K,7,7,7.0,7.0,6.0,6.0,1.0,1.0,1.0,0.8571428571,0.8571428571
2008,3000,80000,L,22,17,16.0,15.0,15.0,12.0,0.7727272727,0.7272727273,0.6818181818,0.6818181818,0.5454545455
2008,3000,80000,M,112,104,99.0,88.0,83.0,75.0,0.9285714286,0.8839285714,0.7857142857,0.7410714286,0.6696428571
2008,3000,80000,N,70,60,56.0,52.0,48.0,44.0,0.8571428571,0.8,0.7428571429,0.6857142857,0.6285714286
2008,3000,80000,O,2,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
