year,ratio_order,ratio_code,ratio_label_nl,sector_order,sector_code,sector_label_nl,dispersion_order,dispersion_code,dispersion_label_nl,scheme_order,scheme_code,scheme_label_nl,value,unit_measure,decimals,obs_status
2009,20,R017,16.1 Rotatie van de voorraad goederen in bewerking en gereed product (voor alle sectoren uitgezonderd de bouwnijverheid),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),2,dispq2,Mediaan (Q2),1,C,Volledig,19.8,_Z,1,A
2009,21,R018,16.2 Rotatie van de voorraad goederen in bewerking en gereed product (enkel voor de sector van de bouwnijverheid),83,PU300,PU300 : Bouwnijverheid,2,dispq2,Mediaan (Q2),1,C,Volledig,14.73,_Z,1,A
2009,21,R018,16.2 Rotatie van de voorraad goederen in bewerking en gereed product (enkel voor de sector van de bouwnijverheid),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),2,dispq2,Mediaan (Q2),1,C,Volledig,14.73,_Z,1,A
2009,22,R019,17. Aantal dagen klantenkrediet,83,PU300,PU300 : Bouwnijverheid,2,dispq2,Mediaan (Q2),1,C,Volledig,66.98,_Z,1,A
2009,22,R019,17. Aantal dagen klantenkrediet,226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),2,dispq2,Mediaan (Q2),1,C,Volledig,53.93,_Z,1,A
2009,23,R020,18. Aantal dagen leverancierskrediet,83,PU300,PU300 : Bouwnijverheid,2,dispq2,Mediaan (Q2),1,C,Volledig,76.2,_Z,1,A
2009,23,R020,18. Aantal dagen leverancierskrediet,226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),2,dispq2,Mediaan (Q2),1,C,Volledig,59.64,_Z,1,A
2009,24,R021,19. Financiële onafhankelijkheidsgraad (%),83,PU300,PU300 : Bouwnijverheid,2,dispq2,Mediaan (Q2),1,C,Volledig,29.65,_Z,1,A
2009,24,R021,19. Financiële onafhankelijkheidsgraad (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),2,dispq2,Mediaan (Q2),1,C,Volledig,36.38,_Z,1,A
2009,25,R022,20. Aanschaffingen van materiële vaste activa / Toegevoegde waarde (%),83,PU300,PU300 : Bouwnijverheid,2,dispq2,Mediaan (Q2),1,C,Volledig,6.34,_Z,1,A
2009,25,R022,20. Aanschaffingen van materiële vaste activa / Toegevoegde waarde (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),2,dispq2,Mediaan (Q2),1,C,Volledig,5.72,_Z,1,A
2009,26,R023,21. Vernieuwingsgraad inzake materiële vaste activa (%),83,PU300,PU300 : Bouwnijverheid,2,dispq2,Mediaan (Q2),1,C,Volledig,23.45,_Z,1,A
2009,26,R023,21. Vernieuwingsgraad inzake materiële vaste activa (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),2,dispq2,Mediaan (Q2),1,C,Volledig,16.59,_Z,1,A
2009,2,R002,2. Nettoverkoopmarge (%),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1303.0,_Z,1,A
2009,2,R002,2. Nettoverkoopmarge (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,18884.0,_Z,1,A
2009,3,R003,3. Toegevoegde waarde / Bedrijfsopbrengsten (%),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1321.0,_Z,1,A
2009,3,R003,3. Toegevoegde waarde / Bedrijfsopbrengsten (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,18923.0,_Z,1,A
2009,4,R004,4.Toegevoegde waarde per personeelslid (in EUR),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,946.0,EUR,1,A
2009,4,R004,4.Toegevoegde waarde per personeelslid (in EUR),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,14162.0,EUR,1,A
2009,5,R005,5. Toegevoegde waarde / Bruto materiële vaste activa (%),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1174.0,_Z,1,A
2009,5,R005,5. Toegevoegde waarde / Bruto materiële vaste activa (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,16917.0,_Z,1,A
2009,6,R006,6. Personeelskosten / Toegevoegde waarde (%),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,951.0,_Z,1,A
2009,6,R006,6. Personeelskosten / Toegevoegde waarde (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,14377.0,_Z,1,A
2009,7,R007,"7. Afschrijvingen, waardeverminderingen en voorzieningen voor risico's en kosten / Toegevoegde waarde (%)",83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1097.0,_Z,1,A
2009,7,R007,"7. Afschrijvingen, waardeverminderingen en voorzieningen voor risico's en kosten / Toegevoegde waarde (%)",226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,16116.0,_Z,1,A
2009,8,R008C,8. Kosten van de schulden / Toegevoegde waarde (%),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1099.0,_Z,1,A
2009,8,R008C,8. Kosten van de schulden / Toegevoegde waarde (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,15176.0,_Z,1,A
2009,10,R009,"9. Nettorendabiliteit van het eigen vermogen, na belasting (%)",83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1276.0,_Z,1,A
2009,10,R009,"9. Nettorendabiliteit van het eigen vermogen, na belasting (%)",226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,18065.0,_Z,1,A
2009,11,R010,10. Cashflow / Eigen vermogen (%),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1276.0,_Z,1,A
2009,11,R010,10. Cashflow / Eigen vermogen (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,18066.0,_Z,1,A
2009,12,R011C,"11. Brutorendabiliteit van het totaal der activa, vóór belasting en kosten van schulden (%)",83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1417.0,_Z,1,A
2009,12,R011C,"11. Brutorendabiliteit van het totaal der activa, vóór belasting en kosten van schulden (%)",226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,20078.0,_Z,1,A
2009,14,R012C,"12. Nettorendabiliteit van het totaal der activa, vóór belasting en kosten van schulden (%)",83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1417.0,_Z,1,A
2009,14,R012C,"12. Nettorendabiliteit van het totaal der activa, vóór belasting en kosten van schulden (%)",226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,20078.0,_Z,1,A
2009,16,R013,13. Liquiditeit in ruime zin,83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1450.0,_Z,1,A
2009,16,R013,13. Liquiditeit in ruime zin,226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,20757.0,_Z,1,A
2009,17,R014,14. Liquiditeit in enge zin,83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1440.0,_Z,1,A
2009,17,R014,14. Liquiditeit in enge zin,226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,20661.0,_Z,1,A
2009,18,R015,"15.1 Rotatie van de voorraad handelsgoederen, grond- en hulpstoffen (voor alle sectoren uitgezonderd de bouwnijverheid)",226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,7124.0,_Z,1,A
2009,19,R016,"15.2 Rotatie van de voorraad handelsgoederen, grond- en hulpstoffen (enkel voor de sector van de bouwnijverheid)",83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,661.0,_Z,1,A
2009,19,R016,"15.2 Rotatie van de voorraad handelsgoederen, grond- en hulpstoffen (enkel voor de sector van de bouwnijverheid)",226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,661.0,_Z,1,A
2009,20,R017,16.1 Rotatie van de voorraad goederen in bewerking en gereed product (voor alle sectoren uitgezonderd de bouwnijverheid),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,2190.0,_Z,1,A
2009,21,R018,16.2 Rotatie van de voorraad goederen in bewerking en gereed product (enkel voor de sector van de bouwnijverheid),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,620.0,_Z,1,A
2009,21,R018,16.2 Rotatie van de voorraad goederen in bewerking en gereed product (enkel voor de sector van de bouwnijverheid),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,620.0,_Z,1,A
2009,22,R019,17. Aantal dagen klantenkrediet,83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1173.0,_Z,1,A
2009,22,R019,17. Aantal dagen klantenkrediet,226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,16796.0,_Z,1,A
2009,23,R020,18. Aantal dagen leverancierskrediet,83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1372.0,_Z,1,A
2009,23,R020,18. Aantal dagen leverancierskrediet,226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,19243.0,_Z,1,A
2009,24,R021,19. Financiële onafhankelijkheidsgraad (%),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,1456.0,_Z,1,A
2009,24,R021,19. Financiële onafhankelijkheidsgraad (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,20874.0,_Z,1,A
2009,25,R022,20. Aanschaffingen van materiële vaste activa / Toegevoegde waarde (%),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,925.0,_Z,1,A
2009,25,R022,20. Aanschaffingen van materiële vaste activa / Toegevoegde waarde (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,13210.0,_Z,1,A
2009,26,R023,21. Vernieuwingsgraad inzake materiële vaste activa (%),83,PU300,PU300 : Bouwnijverheid,3,dispnb,Aantal ondernemingen,1,C,Volledig,929.0,_Z,1,A
2009,26,R023,21. Vernieuwingsgraad inzake materiële vaste activa (%),226,PU450,PU450 : Geheel van de sectoren (Stat. jaarrekeningen verenigingen),3,dispnb,Aantal ondernemingen,1,C,Volledig,13182.0,_Z,1,A
