year,scheme_order,scheme_code,scheme_label_nl,dispersion_order,dispersion_code,dispersion_label_nl,ratio_order,ratio_code,ratio_label_nl,unit_measure,decimals,value_pu300,value_pu450,difference_pu300_minus_pu450,ratio_pu300_div_pu450
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,17,R014,14. Liquiditeit in enge zin,_Z,1,38850.0,317800.0,-278950.0,0.1222466960352423
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,22,R019,17. Aantal dagen klantenkrediet,_Z,1,6050.0,37615.0,-31565.0,0.16084009038947228
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,23,R020,18. Aantal dagen leverancierskrediet,_Z,1,6486.0,46713.0,-40227.0,0.13884785819793205
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,24,R021,19. Financiële onafhankelijkheidsgraad (%),_Z,1,39221.0,323078.0,-283857.0,0.12139792867357109
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,25,R022,20. Aanschaffingen van materiële vaste activa / Toegevoegde waarde (%),_Z,1,28607.0,204604.0,-175997.0,0.13981642587632695
2009,2,A,Verkort,3,dispnb,Aantal ondernemingen,26,R023,21. Vernieuwingsgraad inzake materiële vaste activa (%),_Z,1,26817.0,197451.0,-170634.0,0.13581597459622893
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,1,R001,1. Brutoverkoopmarge (%),_Z,1,7.89,7.51,0.3799999999999999,1.0505992010652463
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,2,R002,2. Nettoverkoopmarge (%),_Z,1,10.45,3.85,6.6,2.714285714285714
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,3,R003,3. Toegevoegde waarde / Bedrijfsopbrengsten (%),_Z,1,25.48,20.85,4.629999999999999,1.222062350119904
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,4,R004,4.Toegevoegde waarde per personeelslid (in EUR),EUR,1,60929.24,83142.26,-22213.019999999997,0.7328311739421084
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,5,R005,5. Toegevoegde waarde / Bruto materiële vaste activa (%),_Z,1,30.08,34.8,-4.719999999999999,0.864367816091954
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,6,R006,6. Personeelskosten / Toegevoegde waarde (%),_Z,1,69.8,62.31,7.489999999999995,1.120205424490451
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,7,R007,"7. Afschrijvingen, waardeverminderingen en voorzieningen voor risico's en kosten / Toegevoegde waarde (%)",_Z,1,18.3,20.04,-1.7399999999999984,0.9131736526946108
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,9,R008A,8. Financiële kosten / Toegevoegde waarde (%),_Z,1,19.62,35.05,-15.429999999999996,0.5597717546362341
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,10,R009,"9. Nettorendabiliteit van het eigen vermogen, na belasting (%)",_Z,1,5.44,5.91,-0.46999999999999975,0.9204737732656515
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,11,R010,10. Cashflow / Eigen vermogen (%),_Z,1,3.64,9.59,-5.949999999999999,0.3795620437956205
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,13,R011A,"11. Brutorendabiliteit van het totaal der activa, vóór belasting en financiële kosten (%)",_Z,1,6.44,8.3,-1.8600000000000003,0.7759036144578313
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,15,R012A,"12. Nettorendabiliteit van het totaal der activa, vóór belasting en financiële kosten (%)",_Z,1,7.34,6.35,0.9900000000000002,1.1559055118110237
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,16,R013,13. Liquiditeit in ruime zin,_Z,1,1.38,1.34,0.039999999999999813,1.0298507462686566
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,17,R014,14. Liquiditeit in enge zin,_Z,1,0.99,1.24,-0.25,0.7983870967741935
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,22,R019,17. Aantal dagen klantenkrediet,_Z,1,87.93,66.14,21.790000000000006,1.3294526761415182
2009,4,T,Volledig + Verkort + Micro,1,dispg,Gewogen gemiddelde,23,R020,18. Aantal dagen leverancierskrediet,_Z,1,95.92,68.99,26.930000000000007,1.3903464270184085
