year,ratio_code,ratio_label_nl,sector_code,sector_label_nl,sector_short_label,value
2011,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,16.46
2012,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,16.57
2013,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,17.02
2014,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,17.27
2015,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,16.77
2016,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,15.49
2017,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,13.73
2018,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,13.52
2019,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,12.5
2020,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,15.06
2021,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,15.69
2022,R001,1. Brutoverkoopmarge (%),PU340,PU340 : Diensten aan ondernemingen en particulieren,Diensten,13.71
2009,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,3.27
2010,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,5.82
2011,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,4.69
2012,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,4.24
2013,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,3.98
2014,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,2.7
2015,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,3.06
2016,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,4.29
2017,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,5.89
2018,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,2.36
2019,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,2.15
2020,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,2.84
2021,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,3.1
2022,R001,1. Brutoverkoopmarge (%),PU405,PU405 : Activiteiten van holdings,Holdings,3.14
2009,R001,1. Brutoverkoopmarge (%),PU409,"PU409 : Kunst, amusement en recreatie",Kunst en recreatie,14.92
2010,R001,1. Brutoverkoopmarge (%),PU409,"PU409 : Kunst, amusement en recreatie",Kunst en recreatie,14.67
2011,R001,1. Brutoverkoopmarge (%),PU409,"PU409 : Kunst, amusement en recreatie",Kunst en recreatie,13.16
2012,R001,1. Brutoverkoopmarge (%),PU409,"PU409 : Kunst, amusement en recreatie",Kunst en recreatie,12.21
2013,R001,1. Brutoverkoopmarge (%),PU409,"PU409 : Kunst, amusement en recreatie",Kunst en recreatie,10.71
2014,R001,1. Brutoverkoopmarge (%),PU409,"PU409 : Kunst, amusement en recreatie",Kunst en recreatie,11.31
2015,R001,1. Brutoverkoopmarge (%),PU409,"PU409 : Kunst, amusement en recreatie",Kunst en recreatie,8.25
2016,R001,1. Brutoverkoopmarge (%),PU409,"PU409 : Kunst, amusement en recreatie",Kunst en recreatie,7.94
2017,R001,1. Brutoverkoopmarge (%),PU409,"PU409 : Kunst, amusement en recreatie",Kunst en recreatie,10.0
2018,R001,1. Brutoverkoopmarge (%),PU409,"PU409 : Kunst, amusement en recreatie",Kunst en recreatie,9.52
2009,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,16.92
2010,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,15.56
2011,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,14.98
2012,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,15.09
2013,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,12.32
2014,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,12.76
2015,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,12.44
2016,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,11.7
2017,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,11.16
2018,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,10.73
2019,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,9.92
2020,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,11.1
2021,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,13.24
2022,R001,1. Brutoverkoopmarge (%),PU410,PU410 : Gezondheidszorg en maatschappelijke dienstverlening,Gezondheidszorg,8.73
2009,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,3.42
2010,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,5.28
2011,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,4.87
2012,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,5.47
2013,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,3.78
2014,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,3.98
2015,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,3.61
2016,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,4.0
2017,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,3.35
2018,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,1.87
2019,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,3.24
2020,R002,2. Nettoverkoopmarge (%),PU210,"PU210 : Landbouw, jacht, bosbouw en visserij",Landbouw,3.36
