year,ratio_code,ratio_label_nl,sector_code,sector_label_nl,sector_short_label,value
2018,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,2.78
2019,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,3.67
2020,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,2.64
2021,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,3.82
2022,R002,2. Nettoverkoopmarge (%),DE4521,DE4521 : Burgerlijke en utiliteitsbouw; constructie van bruggen en tunnels; civieltechnische werken ten behoeve van nutsbedirjven,Burgerlijke en utiliteitsbouw,3.83
2009,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,4.38
2010,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,3.81
2011,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,4.49
2012,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,3.09
2013,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,3.49
2014,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,3.79
2015,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,3.08
2016,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,4.04
2017,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,2.69
2018,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,4.26
2019,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,4.41
2020,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,4.07
2021,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,3.54
2022,R002,2. Nettoverkoopmarge (%),DE4522,DE4522 : Dakbedekking en bouw van dakconstructies,Dakbedekking,4.46
2009,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,3.85
2010,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,3.36
2011,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,4.58
2012,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,3.26
2013,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,3.8
2014,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,5.28
2015,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,5.22
2016,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,4.54
2017,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,4.42
2018,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,3.72
2019,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,4.65
2020,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,4.62
2021,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,4.94
2022,R002,2. Nettoverkoopmarge (%),DE4531,DE4531 : Elektrische installatie,Elektrische installatie,4.8
2009,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,2.81
2010,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,3.54
2011,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,3.48
2012,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,3.17
2013,R002,2. Nettoverkoopmarge (%),DE4533,DE4533 : Loodgieterswerk,Loodgieterswerk,3.57
