CD_REFNIS,CD_SUP_REFNIS,TX_REFNIS_NL,Huizen_totaal_2025,Appartementen_2025,Woningen_Nieuwbouw_2019sep-2022aug,Woningen_Nieuwbouw_2022sep-2025aug,Woningen_Nieuwbouw_pct_verschil_36m,Gebouwen_Renovatie_2019sep-2022aug,Gebouwen_Renovatie_2022sep-2025aug,Gebouwen_Renovatie_pct_verschil_36m,HH_available,hh_1_2025,hh_2_2025,hh_3_2025,hh_4+_2025,hh_1_pct_toename,hh_2_pct_toename,hh_3_pct_toename,hh_4+_pct_toename,hh_1_abs_toename,hh_2_abs_toename,hh_3_abs_toename,hh_4+_abs_toename
21015,21000,Schaarbeek,25837,28469,285.0,342.0,20.0,469.0,365.0,-22.17,False,,,,,,,,,,,,
21016,21000,Ukkel,15311,27229,666.0,817.0,22.67,547.0,421.0,-23.03,False,,,,,,,,,,,,
21017,21000,Watermaal-Bosvoorde,6351,5647,299.0,268.0,-10.37,260.0,196.0,-24.62,False,,,,,,,,,,,,
21018,21000,Sint-Lambrechts-Woluwe,8577,22132,860.0,675.0,-21.51,376.0,289.0,-23.14,False,,,,,,,,,,,,
21019,21000,Sint-Pieters-Woluwe,8948,11335,118.0,59.0,-50.0,403.0,314.0,-22.08,False,,,,,,,,,,,,
31003,31000,Beernem,5990,1131,240.0,270.0,12.5,154.0,174.0,12.99,True,2063.0,2555.0,913.0,1356.0,12.12,1.06,8.87,5.01,250.0,27.0,81.0,68.0
31004,31000,Blankenberge,4467,14398,562.0,885.0,57.47,188.0,185.0,-1.6,True,5284.0,3819.0,994.0,1019.0,18.79,-4.24,4.63,13.25,993.0,-162.0,46.0,135.0
31005,31000,Brugge,44303,18484,1817.0,1320.0,-27.35,1589.0,1532.0,-3.59,True,22247.0,18780.0,6711.0,8455.0,4.48,-0.58,-0.82,5.46,997.0,-109.0,-55.0,462.0
31006,31000,Damme,4784,355,305.0,282.0,-7.54,159.0,137.0,-13.84,True,1425.0,1924.0,644.0,879.0,18.53,8.16,1.09,2.39,264.0,157.0,7.0,21.0
31012,31000,Jabbeke,5890,942,626.0,526.0,-15.97,171.0,160.0,-6.43,True,1761.0,2451.0,908.0,1152.0,14.82,-0.37,-11.67,-5.38,261.0,-9.0,-106.0,-62.0
31022,31000,Oostkamp,9041,1547,526.0,607.0,15.4,293.0,196.0,-33.11,True,2880.0,3833.0,1474.0,2125.0,6.67,-1.23,12.28,7.2,192.0,-47.0,181.0,153.0
31033,31000,Torhout,7750,2000,383.0,313.0,-18.28,202.0,156.0,-22.77,True,3049.0,3327.0,1196.0,1642.0,10.5,0.33,3.85,-3.53,320.0,11.0,46.0,-58.0
31040,31000,Zedelgem,8995,1298,698.0,661.0,-5.3,254.0,185.0,-27.17,True,2747.0,3844.0,1505.0,1983.0,15.36,4.99,5.18,7.36,422.0,192.0,78.0,146.0
31042,31000,Zuienkerke,1249,126,72.0,48.0,-33.33,42.0,34.0,-19.05,True,329.0,466.0,170.0,208.0,-4.56,0.64,-18.24,-29.33,-15.0,3.0,-31.0,-61.0
